net,length_um
clknet_2_0__leaf_clk,487.06
_0677_,479.845
_0669_,454.63
_0721_,444.12
_0696_,432.68
_0655_,422.19
_0648_,414.695
_0428_,393.23
_1570_,390.54
_0483_,390.16
_0702_,389.455
_0671_,379.765
_0663_,378.8
clknet_2_3__leaf_clk,373.5
_0652_,362
_0657_,355.105
_0680_,353.39
_0683_,347.255
_1078_,345.09
clknet_2_1__leaf_clk,338.19
_0573_,337.58
net76,336.475
_1611_,335.15
_0446_,334.21
_1590_,333.35
clknet_2_2__leaf_clk,323.965
_0519_,321.5
_0591_,319.68
_0555_,313.78
_0501_,312.95
clk,311.43
_0690_,308.195
_0646_,302.59
_0464_,294.98
clknet_0_clk,291.46
_1528_,290.98
_0693_,289.805
_0537_,286.77
_0609_,280.62
_0709_,280.03
_0941_,278.125
_0668_,273.135
_1055_,271.68
_0660_,270.1
_0482_,268.68
_0673_,265.71
net2,253.36
net9,252.4
_0664_,251.01
_1535_,250.9
_0518_,243.63
net48,243.26
_1569_,241.02
net6,240.77
_0672_,239.645
_0427_,238.8
_0654_,236.8
_0572_,236.01
_0656_,236.01
net13,235.08
_0874_,234.78
net52,226.72
net14,225.16
_0679_,225.13
_1610_,223.98
net75,222.97
_1545_,222.02
net16,221.84
_1539_,220.17
net11,219.74
_0554_,219.73
net5,215.04
_0500_,213.8
net3,213.7
_0951_,209.93
_0647_,209.515
net67,207.29
_1450_,206.095
_1028_,204.97
_1589_,204.955
_1425_,203.68
_0536_,201.62
net60,198.41
_1557_,198.08
_0445_,197.29
_0641_,194.98
_0590_,190.19
net12,189.56
_1029_,189.52
_0645_,189.32
net1,189.06
_1077_,185.835
net7,183.1
net51,182.76
_0463_,182.08
clknet_leaf_15_clk,181.86
_1543_,181.555
_1547_,180.96
net4,180.1
net59,179.12
_1549_,178.86
_1561_,176.84
_1553_,175.65
net47,174.66
_1524_,174.12
_1534_,173.06
_0942_,172.52
net10,172.3
_1429_,171.74
_1154_,170.48
_0670_,169.58
_1034_,167.64
net15,166.4
net53,166.04
net8,164.68
_1454_,164.14
net50,163.72
_0608_,160.28
clknet_leaf_18_clk,159.78
net58,158.33
_0662_,155.57
net49,150.84
_0665_,150
_0940_,149.5
_0678_,149.14
_0414_,147.88
_1066_,147.82
_1495_,143.04
clknet_leaf_7_clk,142.28
net17,139.33
_1563_,139.12
clknet_leaf_6_clk,136.84
net19,136.36
clknet_leaf_11_clk,134.535
clknet_leaf_5_clk,132.62
net46,126.58
net72,125.8
_0637_,125.56
clknet_leaf_33_clk,124.92
clknet_leaf_36_clk,122.82
clknet_leaf_34_clk,121.32
net71,119.81
clknet_leaf_21_clk,119.46
_1537_,118.82
_1472_,118.74
clknet_leaf_38_clk,118.7
_0727_,118.64
net61,118.57
clknet_leaf_10_clk,117.715
clknet_leaf_35_clk,117.3
_1530_,116.91
net70,116.89
_1541_,116.28
_0882_,114.66
_0712_,114.26
clknet_leaf_39_clk,113.8
net68,112.8
_0651_,112.58
clknet_leaf_1_clk,111.1
_1551_,109.26
clknet_leaf_2_clk,109.04
net74,108.13
_0824_,107.96
net65,107.02
_0889_,106.76
net56,106.11
clknet_leaf_37_clk,105.92
_1200_,105.56
_1302_,104.52
net73,101.59
_1559_,99.72
clknet_leaf_8_clk,98.84
_1233_,98.38
_1194_,97.8
clknet_leaf_3_clk,97.78
clknet_leaf_4_clk,96.46
net62,96.4
