Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,15772
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.003418069100007415
power__switching__total,0.0025697886012494564
power__leakage__total,1.445187933768466E-7
power__total,0.005988001823425293
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.5189068210883316
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.459880702091738
timing__hold__ws__corner:nom_tt_025C_1v80,0.33537473747388064
timing__setup__ws__corner:nom_tt_025C_1v80,4.364134954717887
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.335375
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.878813
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.8099240396487298
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.7278557962358776
timing__hold__ws__corner:nom_ss_100C_1v60,0.059858342199389625
timing__setup__ws__corner:nom_ss_100C_1v60,0.30993697374733253
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.789818
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,5.298398
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3914552681693832
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.34482218056912034
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1757558037742921
timing__setup__ws__corner:nom_ff_n40C_1v95,5.88622278690634
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.175756
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,10.306697
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,3
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.38614151857863915
clock__skew__worst_setup,0.34207387890508467
timing__hold__ws,0.030546899208066792
timing__setup__ws,0.2851550187799781
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.175756
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.298392
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1500.0 1500.0
design__core__bbox,5.52 10.88 1494.08 1487.84
design__io,31
design__die__area,2.25E+6
design__core__area,2.19854E+6
design__instance__area,1.06309E+6
design__instance__count__stdcell,15768
design__instance__area__stdcell,20767.4
design__instance__count__macros,4
design__instance__area__macros,1.04232E+6
design__instance__utilization,0.483542
design__instance__utilization__stdcell,0.0179614
design__instance__count__class:macro,4
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,95778
design__instance__count__class:tap_cell,15605
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,48424.3
design__violations,0
design__instance__count__class:timing_repair_buffer,122
design__instance__count__class:clock_buffer,3
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,37
design__instance__count__class:antenna_cell,37
route__net,177
route__net__special,2
route__drc_errors__iter:1,2
route__wirelength__iter:1,48787
route__drc_errors__iter:2,1
route__wirelength__iter:2,48754
route__drc_errors__iter:3,0
route__wirelength__iter:3,48754
route__drc_errors__iter:4,0
route__wirelength__iter:4,48651
route__drc_errors,0
route__wirelength,48754
route__vias,834
route__vias__singlecut,834
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1778.86
timing__unannotated_net__count__corner:nom_tt_025C_1v80,149
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,149
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,149
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,3
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.5107115430668291
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.4590846721605685
timing__hold__ws__corner:min_tt_025C_1v80,0.3353747929850334
timing__setup__ws__corner:min_tt_025C_1v80,4.362702322886394
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.335375
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
